"Id";"Designador";"Pacote";"Quantidade";"Designação";"Fornecedor e referência";
1;"T1";"Transformador 230V para 12V AC";1;"Transformer_1P_1S";;;
2;"J5";"DSUB-15-HD_Female_Horizontal_P2.29x1.98mm_EdgePinOffset3.03mm_Housed_MountingHolesOffset4.94mm";1;"DB15_Female_HighDensity";;;
3;"R6,R2,R8,R10";"R_0603_1608Metric";4;"1K";;;
4;"R1";"R_0603_1608Metric";1;"1k";;;
5;"R3,R12,R5";"R_0603_1608Metric";3;"270";;;
6;"R7,R9,R11";"R_0603_1608Metric";3;"680";;;
7;"U20,U33,U35,U36,U22,U23";"SOIC-14_3.9x8.7mm_P1.27mm";6;"74LS30";;;
8;"U12,U13,U14";"SO-20_12.8x7.5mm_P1.27mm";3;"74LS245";;;
9;"U9";"HY1602E";1;"16x2_LCD";;;
10;"C1";"CP_Radial_D6.3mm_P2.50mm";1;"470uF";;;
11;"C2,C3,C4,C5,C6,C7";"CP_Radial_D5.0mm_P2.50mm";6;"0.1uF";;;
12;"D1,D2,D3,D4";"D_DO-41_SOD81_P10.16mm_Horizontal";4;"1N4001";;;
13;"F1";"Fuse";1;"Fuse";;;
14;"H1,H2,H3,H4";"MountingHole_2.2mm_M2_DIN965_Pad";4;"MountingHole";;;
15;"HS1";"Heatsink_Stonecold_HS-132_32x14mm_2xFixation1.5mm";1;"Heatsink_Pad";;;
16;"J1";"TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal";1;"Screw_Terminal_01x02";;;
17;"RV1";"Potentiometer_Bourns_3296Z_Horizontal";1;"R_POT";;;
18;"SW1";"SW_SPST_PTS645";1;"SW_Push";;;
19;"U1";"TO-262-3_Vertical";1;"LM1085-5.0";;;
20;"U2";"DIP-40_W15.24mm";1;"W65C02";;;
21;"U3,U6";"SOIC-14_3.9x8.7mm_P1.27mm";2;"74HC00";;;
22;"U4";"SOT-323_SC-70";1;"MAX7375AXR105";;;
23;"U5";"DIP-28_W7.62mm_LongPads";1;"28C256";;;
24;"U7";"DIP-28_W7.62mm";1;"62256";;;
25;"U8";"DIP-40_W15.24mm";1;"WD65C22";;;
26;"U10,U37,U38,U39,U40,U24,U25,U26,U27";"SOIC-14_3.9x8.7mm_P1.27mm";9;"74LS00";;;
27;"U11";"SOIC-14_3.9x8.7mm_P1.27mm";1;"74HC74";;;
28;"U28,U29,U30,U15,U16,U17";"HTSSOP-16-1EP_4.4x5mm_P0.65mm_EP3.4x5mm";6;"74LS161";;;
29;"U18,U34,U21,U19,U31,U32";"SOIC-14_3.9x8.7mm_P1.27mm";6;"74LS04";;;
30;"X1";"SOT-323_SC-70";1;"Clock";;;
31;"J2";"USB_Micro-B_Molex_47346-0001";1;"USB_B_Micro";;;
32;"J3";"USB_C_Receptacle_HRO_TYPE-C-31-M-12";1;"USB_C_Receptacle_USB2.0";;;
33;"J4";"USB_A_CNCTech_1001-011-01101_Horizontal";1;"USB_A";;;
